Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Machine Learning Trainer,₹361K - ₹2M ,-1,EVOLVE ROBOTICS,Cochin,-1,-1,-1,-1,-1,-1
Python AI / ML (Online Trainer Part Time),₹10K - ₹25K ,2.9,Nestsoft technologies,Remote,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Hiring for Machine Learning Engineer,₹20K - ₹50K ,-1,Trigya Technologies Pvt.Ltd,Pune,-1,-1,-1,-1,-1,-1
Computer Vision Machine Learning Engineer,-1,4.4,Apple,Bangalore,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Artificial Intelligence & Machine Learning,₹30K - ₹50K ,-1,Creative Buffer,India,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Deep Learning Engineer,₹293K - ₹407K ,4.2,Aptagrim Consulting,Hyderābād,1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Faculty- Artificial Intelligence,₹30K ,-1,United Group of Initiatives,Eranakulam,-1,-1,-1,-1,-1,-1
Artificial Intelligence/ Machine Learning Engineer,₹417K - ₹469K ,3.9,UST,Hyderābād,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
"Software Engineer Python, Machine Learning/AI",-1,4.2,Truedge Software Solutions,Hyderābād,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Jr Data Analyst | Jr Data Scientist,₹347K - ₹654K ,4.9,AIBridge ML,Hyderābād,1 to 50 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Wobot.ai - Computer Vision Engineer,₹500K - ₹800K ,4.5,Wobot.ai,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Science Trainee,₹15K - ₹31K ,-1,AS Global Solutions,Hyderābād,-1,-1,-1,-1,-1,-1
Senior Machine Learning Engineer,-1,3.9,Baker Hughes,Mumbai,10000+ Employees,1907,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD)
Computer Vision Engineer,-1,4.5,Wobot Intelligence,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
